SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 234 | {'loss_reg': '12.6863', 'loss': '12.6863'}
Train | Epoch: 1 | Step: 10 / 234 | {'loss_reg': '6.1031', 'loss': '6.1031'}
Train | Epoch: 1 | Step: 20 / 234 | {'loss_reg': '6.3780', 'loss': '6.3780'}
Train | Epoch: 1 | Step: 30 / 234 | {'loss_reg': '7.7641', 'loss': '7.7641'}
Train | Epoch: 1 | Step: 40 / 234 | {'loss_reg': '1.2011', 'loss': '1.2011'}
Train | Epoch: 1 | Step: 50 / 234 | {'loss_reg': '4.3456', 'loss': '4.3456'}
Train | Epoch: 1 | Step: 60 / 234 | {'loss_reg': '4.1692', 'loss': '4.1692'}
Train | Epoch: 1 | Step: 70 / 234 | {'loss_reg': '8.3901', 'loss': '8.3901'}
Train | Epoch: 1 | Step: 80 / 234 | {'loss_reg': '2.0266', 'loss': '2.0266'}
Train | Epoch: 1 | Step: 90 / 234 | {'loss_reg': '7.1926', 'loss': '7.1926'}
Train | Epoch: 1 | Step: 100 / 234 | {'loss_reg': '3.8869', 'loss': '3.8869'}
Train | Epoch: 1 | Step: 110 / 234 | {'loss_reg': '3.7087', 'loss': '3.7087'}
Train | Epoch: 1 | Step: 120 / 234 | {'loss_reg': '3.9794', 'loss': '3.9794'}
Train | Epoch: 1 | Step: 130 / 234 | {'loss_reg': '3.9591', 'loss': '3.9591'}
Train | Epoch: 1 | Step: 140 / 234 | {'loss_reg': '2.6808', 'loss': '2.6808'}
Train | Epoch: 1 | Step: 150 / 234 | {'loss_reg': '2.4824', 'loss': '2.4824'}
Train | Epoch: 1 | Step: 160 / 234 | {'loss_reg': '3.1666', 'loss': '3.1666'}
Train | Epoch: 1 | Step: 170 / 234 | {'loss_reg': '5.1170', 'loss': '5.1170'}
Train | Epoch: 1 | Step: 180 / 234 | {'loss_reg': '1.7027', 'loss': '1.7027'}
Train | Epoch: 1 | Step: 190 / 234 | {'loss_reg': '5.2046', 'loss': '5.2046'}
Train | Epoch: 1 | Step: 200 / 234 | {'loss_reg': '2.1689', 'loss': '2.1689'}
Train | Epoch: 1 | Step: 210 / 234 | {'loss_reg': '1.3218', 'loss': '1.3218'}
Train | Epoch: 1 | Step: 220 / 234 | {'loss_reg': '2.0976', 'loss': '2.0976'}
Train | Epoch: 1 | Step: 230 / 234 | {'loss_reg': '1.2275', 'loss': '1.2275'}
Val | Epoch: 1 | {'rmse': '16.076', 'pearson': '0.817', 'r2': '0.593', 'spearmanr': '0.714'}
Train | Epoch: 2 | Step: 0 / 234 | {'loss_reg': '0.8909', 'loss': '0.8909'}
Train | Epoch: 2 | Step: 10 / 234 | {'loss_reg': '3.0957', 'loss': '3.0957'}
Train | Epoch: 2 | Step: 20 / 234 | {'loss_reg': '2.6014', 'loss': '2.6014'}
Train | Epoch: 2 | Step: 30 / 234 | {'loss_reg': '4.8742', 'loss': '4.8742'}
Train | Epoch: 2 | Step: 40 / 234 | {'loss_reg': '1.9909', 'loss': '1.9909'}
Train | Epoch: 2 | Step: 50 / 234 | {'loss_reg': '4.6155', 'loss': '4.6155'}
Train | Epoch: 2 | Step: 60 / 234 | {'loss_reg': '2.4363', 'loss': '2.4363'}
Train | Epoch: 2 | Step: 70 / 234 | {'loss_reg': '2.4558', 'loss': '2.4558'}
Train | Epoch: 2 | Step: 80 / 234 | {'loss_reg': '3.3226', 'loss': '3.3226'}
Train | Epoch: 2 | Step: 90 / 234 | {'loss_reg': '0.8699', 'loss': '0.8699'}
Train | Epoch: 2 | Step: 100 / 234 | {'loss_reg': '1.7528', 'loss': '1.7528'}
Train | Epoch: 2 | Step: 110 / 234 | {'loss_reg': '0.9635', 'loss': '0.9635'}
Train | Epoch: 2 | Step: 120 / 234 | {'loss_reg': '2.0725', 'loss': '2.0725'}
Train | Epoch: 2 | Step: 130 / 234 | {'loss_reg': '1.8117', 'loss': '1.8117'}
Train | Epoch: 2 | Step: 140 / 234 | {'loss_reg': '0.2588', 'loss': '0.2588'}
Train | Epoch: 2 | Step: 150 / 234 | {'loss_reg': '0.8592', 'loss': '0.8592'}
Train | Epoch: 2 | Step: 160 / 234 | {'loss_reg': '2.2957', 'loss': '2.2957'}
Train | Epoch: 2 | Step: 170 / 234 | {'loss_reg': '1.7780', 'loss': '1.7780'}
Train | Epoch: 2 | Step: 180 / 234 | {'loss_reg': '4.8885', 'loss': '4.8885'}
Train | Epoch: 2 | Step: 190 / 234 | {'loss_reg': '1.0148', 'loss': '1.0148'}
Train | Epoch: 2 | Step: 200 / 234 | {'loss_reg': '1.7690', 'loss': '1.7690'}
Train | Epoch: 2 | Step: 210 / 234 | {'loss_reg': '2.4613', 'loss': '2.4613'}
Train | Epoch: 2 | Step: 220 / 234 | {'loss_reg': '2.0946', 'loss': '2.0946'}
Train | Epoch: 2 | Step: 230 / 234 | {'loss_reg': '1.1179', 'loss': '1.1179'}
Val | Epoch: 2 | {'rmse': '9.819', 'pearson': '0.922', 'r2': '0.848', 'spearmanr': '0.871'}
Train | Epoch: 3 | Step: 0 / 234 | {'loss_reg': '0.8861', 'loss': '0.8861'}
Train | Epoch: 3 | Step: 10 / 234 | {'loss_reg': '0.9266', 'loss': '0.9266'}
Train | Epoch: 3 | Step: 20 / 234 | {'loss_reg': '0.6345', 'loss': '0.6345'}
Train | Epoch: 3 | Step: 30 / 234 | {'loss_reg': '0.4789', 'loss': '0.4789'}
Train | Epoch: 3 | Step: 40 / 234 | {'loss_reg': '1.5353', 'loss': '1.5353'}
Train | Epoch: 3 | Step: 50 / 234 | {'loss_reg': '0.2870', 'loss': '0.2870'}
Train | Epoch: 3 | Step: 60 / 234 | {'loss_reg': '1.1049', 'loss': '1.1049'}
Train | Epoch: 3 | Step: 70 / 234 | {'loss_reg': '0.9876', 'loss': '0.9876'}
Train | Epoch: 3 | Step: 80 / 234 | {'loss_reg': '1.7801', 'loss': '1.7801'}
Train | Epoch: 3 | Step: 90 / 234 | {'loss_reg': '0.5959', 'loss': '0.5959'}
Train | Epoch: 3 | Step: 100 / 234 | {'loss_reg': '6.5538', 'loss': '6.5538'}
Train | Epoch: 3 | Step: 110 / 234 | {'loss_reg': '1.5304', 'loss': '1.5304'}
Train | Epoch: 3 | Step: 120 / 234 | {'loss_reg': '1.0304', 'loss': '1.0304'}
Train | Epoch: 3 | Step: 130 / 234 | {'loss_reg': '0.6994', 'loss': '0.6994'}
Train | Epoch: 3 | Step: 140 / 234 | {'loss_reg': '2.8227', 'loss': '2.8227'}
Train | Epoch: 3 | Step: 150 / 234 | {'loss_reg': '0.9092', 'loss': '0.9092'}
Train | Epoch: 3 | Step: 160 / 234 | {'loss_reg': '0.4964', 'loss': '0.4964'}
Train | Epoch: 3 | Step: 170 / 234 | {'loss_reg': '1.3214', 'loss': '1.3214'}
Train | Epoch: 3 | Step: 180 / 234 | {'loss_reg': '0.4571', 'loss': '0.4571'}
Train | Epoch: 3 | Step: 190 / 234 | {'loss_reg': '4.8757', 'loss': '4.8757'}
Train | Epoch: 3 | Step: 200 / 234 | {'loss_reg': '0.5167', 'loss': '0.5167'}
Train | Epoch: 3 | Step: 210 / 234 | {'loss_reg': '2.7739', 'loss': '2.7739'}
Train | Epoch: 3 | Step: 220 / 234 | {'loss_reg': '1.2705', 'loss': '1.2705'}
Train | Epoch: 3 | Step: 230 / 234 | {'loss_reg': '6.2299', 'loss': '6.2299'}
Val | Epoch: 3 | {'rmse': '11.440', 'pearson': '0.892', 'r2': '0.794', 'spearmanr': '0.847'}
Train | Epoch: 4 | Step: 0 / 234 | {'loss_reg': '7.6095', 'loss': '7.6095'}
Train | Epoch: 4 | Step: 10 / 234 | {'loss_reg': '1.1644', 'loss': '1.1644'}
Train | Epoch: 4 | Step: 20 / 234 | {'loss_reg': '3.9058', 'loss': '3.9058'}
Train | Epoch: 4 | Step: 30 / 234 | {'loss_reg': '3.0530', 'loss': '3.0530'}
Train | Epoch: 4 | Step: 40 / 234 | {'loss_reg': '0.6346', 'loss': '0.6346'}
Train | Epoch: 4 | Step: 50 / 234 | {'loss_reg': '1.4190', 'loss': '1.4190'}
Train | Epoch: 4 | Step: 60 / 234 | {'loss_reg': '0.5345', 'loss': '0.5345'}
Train | Epoch: 4 | Step: 70 / 234 | {'loss_reg': '0.9035', 'loss': '0.9035'}
Train | Epoch: 4 | Step: 80 / 234 | {'loss_reg': '1.2320', 'loss': '1.2320'}
Train | Epoch: 4 | Step: 90 / 234 | {'loss_reg': '1.7242', 'loss': '1.7242'}
Train | Epoch: 4 | Step: 100 / 234 | {'loss_reg': '1.4702', 'loss': '1.4702'}
Train | Epoch: 4 | Step: 110 / 234 | {'loss_reg': '1.2770', 'loss': '1.2770'}
Train | Epoch: 4 | Step: 120 / 234 | {'loss_reg': '2.1702', 'loss': '2.1702'}
Train | Epoch: 4 | Step: 130 / 234 | {'loss_reg': '3.5909', 'loss': '3.5909'}
Train | Epoch: 4 | Step: 140 / 234 | {'loss_reg': '1.5169', 'loss': '1.5169'}
Train | Epoch: 4 | Step: 150 / 234 | {'loss_reg': '0.5198', 'loss': '0.5198'}
Train | Epoch: 4 | Step: 160 / 234 | {'loss_reg': '4.1236', 'loss': '4.1236'}
Train | Epoch: 4 | Step: 170 / 234 | {'loss_reg': '0.5398', 'loss': '0.5398'}
Train | Epoch: 4 | Step: 180 / 234 | {'loss_reg': '2.6631', 'loss': '2.6631'}
Train | Epoch: 4 | Step: 190 / 234 | {'loss_reg': '8.8118', 'loss': '8.8118'}
Train | Epoch: 4 | Step: 200 / 234 | {'loss_reg': '1.1234', 'loss': '1.1234'}
Train | Epoch: 4 | Step: 210 / 234 | {'loss_reg': '1.3957', 'loss': '1.3957'}
Train | Epoch: 4 | Step: 220 / 234 | {'loss_reg': '2.0335', 'loss': '2.0335'}
Train | Epoch: 4 | Step: 230 / 234 | {'loss_reg': '0.8836', 'loss': '0.8836'}
Val | Epoch: 4 | {'rmse': '10.086', 'pearson': '0.921', 'r2': '0.840', 'spearmanr': '0.828'}
Train | Epoch: 5 | Step: 0 / 234 | {'loss_reg': '2.0921', 'loss': '2.0921'}
Train | Epoch: 5 | Step: 10 / 234 | {'loss_reg': '1.1266', 'loss': '1.1266'}
Train | Epoch: 5 | Step: 20 / 234 | {'loss_reg': '1.7012', 'loss': '1.7012'}
Train | Epoch: 5 | Step: 30 / 234 | {'loss_reg': '0.9498', 'loss': '0.9498'}
Train | Epoch: 5 | Step: 40 / 234 | {'loss_reg': '1.6300', 'loss': '1.6300'}
Train | Epoch: 5 | Step: 50 / 234 | {'loss_reg': '1.5045', 'loss': '1.5045'}
Train | Epoch: 5 | Step: 60 / 234 | {'loss_reg': '1.5749', 'loss': '1.5749'}
Train | Epoch: 5 | Step: 70 / 234 | {'loss_reg': '0.9952', 'loss': '0.9952'}
Train | Epoch: 5 | Step: 80 / 234 | {'loss_reg': '1.9306', 'loss': '1.9306'}
Train | Epoch: 5 | Step: 90 / 234 | {'loss_reg': '0.1145', 'loss': '0.1145'}
Train | Epoch: 5 | Step: 100 / 234 | {'loss_reg': '6.6909', 'loss': '6.6909'}
Train | Epoch: 5 | Step: 110 / 234 | {'loss_reg': '1.9988', 'loss': '1.9988'}
Train | Epoch: 5 | Step: 120 / 234 | {'loss_reg': '1.2573', 'loss': '1.2573'}
Train | Epoch: 5 | Step: 130 / 234 | {'loss_reg': '1.3489', 'loss': '1.3489'}
Train | Epoch: 5 | Step: 140 / 234 | {'loss_reg': '0.8645', 'loss': '0.8645'}
Train | Epoch: 5 | Step: 150 / 234 | {'loss_reg': '1.2972', 'loss': '1.2972'}
Train | Epoch: 5 | Step: 160 / 234 | {'loss_reg': '0.5673', 'loss': '0.5673'}
Train | Epoch: 5 | Step: 170 / 234 | {'loss_reg': '6.0562', 'loss': '6.0562'}
Train | Epoch: 5 | Step: 180 / 234 | {'loss_reg': '0.7915', 'loss': '0.7915'}
Train | Epoch: 5 | Step: 190 / 234 | {'loss_reg': '0.7642', 'loss': '0.7642'}
Train | Epoch: 5 | Step: 200 / 234 | {'loss_reg': '0.9202', 'loss': '0.9202'}
Train | Epoch: 5 | Step: 210 / 234 | {'loss_reg': '0.5358', 'loss': '0.5358'}
Train | Epoch: 5 | Step: 220 / 234 | {'loss_reg': '2.2912', 'loss': '2.2912'}
Train | Epoch: 5 | Step: 230 / 234 | {'loss_reg': '0.6414', 'loss': '0.6414'}
Val | Epoch: 5 | {'rmse': '11.120', 'pearson': '0.913', 'r2': '0.805', 'spearmanr': '0.837'}
Train | Epoch: 6 | Step: 0 / 234 | {'loss_reg': '1.3067', 'loss': '1.3067'}
Train | Epoch: 6 | Step: 10 / 234 | {'loss_reg': '0.7731', 'loss': '0.7731'}
Train | Epoch: 6 | Step: 20 / 234 | {'loss_reg': '0.9151', 'loss': '0.9151'}
Train | Epoch: 6 | Step: 30 / 234 | {'loss_reg': '0.6212', 'loss': '0.6212'}
Train | Epoch: 6 | Step: 40 / 234 | {'loss_reg': '0.6686', 'loss': '0.6686'}
Train | Epoch: 6 | Step: 50 / 234 | {'loss_reg': '1.8890', 'loss': '1.8890'}
Train | Epoch: 6 | Step: 60 / 234 | {'loss_reg': '1.0530', 'loss': '1.0530'}
Train | Epoch: 6 | Step: 70 / 234 | {'loss_reg': '1.4753', 'loss': '1.4753'}
Train | Epoch: 6 | Step: 80 / 234 | {'loss_reg': '1.0736', 'loss': '1.0736'}
Train | Epoch: 6 | Step: 90 / 234 | {'loss_reg': '0.8761', 'loss': '0.8761'}
Train | Epoch: 6 | Step: 100 / 234 | {'loss_reg': '0.5100', 'loss': '0.5100'}
Train | Epoch: 6 | Step: 110 / 234 | {'loss_reg': '9.4067', 'loss': '9.4067'}
Train | Epoch: 6 | Step: 120 / 234 | {'loss_reg': '1.8879', 'loss': '1.8879'}
Train | Epoch: 6 | Step: 130 / 234 | {'loss_reg': '2.9845', 'loss': '2.9845'}
Train | Epoch: 6 | Step: 140 / 234 | {'loss_reg': '0.8405', 'loss': '0.8405'}
Train | Epoch: 6 | Step: 150 / 234 | {'loss_reg': '0.7230', 'loss': '0.7230'}
Train | Epoch: 6 | Step: 160 / 234 | {'loss_reg': '3.0132', 'loss': '3.0132'}
Train | Epoch: 6 | Step: 170 / 234 | {'loss_reg': '5.2785', 'loss': '5.2785'}
Train | Epoch: 6 | Step: 180 / 234 | {'loss_reg': '1.0004', 'loss': '1.0004'}
Train | Epoch: 6 | Step: 190 / 234 | {'loss_reg': '6.2137', 'loss': '6.2137'}
Train | Epoch: 6 | Step: 200 / 234 | {'loss_reg': '0.8242', 'loss': '0.8242'}
Train | Epoch: 6 | Step: 210 / 234 | {'loss_reg': '2.1597', 'loss': '2.1597'}
Train | Epoch: 6 | Step: 220 / 234 | {'loss_reg': '2.4871', 'loss': '2.4871'}
Train | Epoch: 6 | Step: 230 / 234 | {'loss_reg': '1.1668', 'loss': '1.1668'}
Val | Epoch: 6 | {'rmse': '10.667', 'pearson': '0.927', 'r2': '0.821', 'spearmanr': '0.822'}
Train | Epoch: 7 | Step: 0 / 234 | {'loss_reg': '1.0825', 'loss': '1.0825'}
Train | Epoch: 7 | Step: 10 / 234 | {'loss_reg': '0.6381', 'loss': '0.6381'}
Train | Epoch: 7 | Step: 20 / 234 | {'loss_reg': '2.0199', 'loss': '2.0199'}
Train | Epoch: 7 | Step: 30 / 234 | {'loss_reg': '0.5999', 'loss': '0.5999'}
Train | Epoch: 7 | Step: 40 / 234 | {'loss_reg': '1.1718', 'loss': '1.1718'}
Train | Epoch: 7 | Step: 50 / 234 | {'loss_reg': '9.0210', 'loss': '9.0210'}
Train | Epoch: 7 | Step: 60 / 234 | {'loss_reg': '1.3393', 'loss': '1.3393'}
Train | Epoch: 7 | Step: 70 / 234 | {'loss_reg': '1.9720', 'loss': '1.9720'}
Train | Epoch: 7 | Step: 80 / 234 | {'loss_reg': '2.5965', 'loss': '2.5965'}
Train | Epoch: 7 | Step: 90 / 234 | {'loss_reg': '1.1508', 'loss': '1.1508'}
Train | Epoch: 7 | Step: 100 / 234 | {'loss_reg': '0.6634', 'loss': '0.6634'}
Train | Epoch: 7 | Step: 110 / 234 | {'loss_reg': '0.1070', 'loss': '0.1070'}
Train | Epoch: 7 | Step: 120 / 234 | {'loss_reg': '1.1228', 'loss': '1.1228'}
Train | Epoch: 7 | Step: 130 / 234 | {'loss_reg': '0.9074', 'loss': '0.9074'}
Train | Epoch: 7 | Step: 140 / 234 | {'loss_reg': '0.5251', 'loss': '0.5251'}
Train | Epoch: 7 | Step: 150 / 234 | {'loss_reg': '1.6736', 'loss': '1.6736'}
Train | Epoch: 7 | Step: 160 / 234 | {'loss_reg': '1.9005', 'loss': '1.9005'}
Train | Epoch: 7 | Step: 170 / 234 | {'loss_reg': '1.0965', 'loss': '1.0965'}
Train | Epoch: 7 | Step: 180 / 234 | {'loss_reg': '0.4329', 'loss': '0.4329'}
Train | Epoch: 7 | Step: 190 / 234 | {'loss_reg': '0.5701', 'loss': '0.5701'}
Train | Epoch: 7 | Step: 200 / 234 | {'loss_reg': '1.1152', 'loss': '1.1152'}
Train | Epoch: 7 | Step: 210 / 234 | {'loss_reg': '0.3325', 'loss': '0.3325'}
Train | Epoch: 7 | Step: 220 / 234 | {'loss_reg': '5.7366', 'loss': '5.7366'}
Train | Epoch: 7 | Step: 230 / 234 | {'loss_reg': '0.7363', 'loss': '0.7363'}
