SEED FROM ARGS.
Train | Epoch: 1 | Time: 1.7199289798736572 | Step: 0 / 285 | {'loss_reg': '0.1071', 'loss': '0.1071'}
Train | Epoch: 1 | Time: 8.044251203536987 | Step: 10 / 285 | {'loss_reg': '0.0673', 'loss': '0.0673'}
Train | Epoch: 1 | Time: 7.863522291183472 | Step: 20 / 285 | {'loss_reg': '0.0559', 'loss': '0.0559'}
Train | Epoch: 1 | Time: 7.74927830696106 | Step: 30 / 285 | {'loss_reg': '0.0560', 'loss': '0.0560'}
Train | Epoch: 1 | Time: 7.5599682331085205 | Step: 40 / 285 | {'loss_reg': '0.0526', 'loss': '0.0526'}
Train | Epoch: 1 | Time: 7.989636659622192 | Step: 50 / 285 | {'loss_reg': '0.0504', 'loss': '0.0504'}
Train | Epoch: 1 | Time: 7.931524991989136 | Step: 60 / 285 | {'loss_reg': '0.0500', 'loss': '0.0500'}
Train | Epoch: 1 | Time: 8.372525930404663 | Step: 70 / 285 | {'loss_reg': '0.0477', 'loss': '0.0477'}
Train | Epoch: 1 | Time: 8.480661630630493 | Step: 80 / 285 | {'loss_reg': '0.0441', 'loss': '0.0441'}
Train | Epoch: 1 | Time: 8.33619737625122 | Step: 90 / 285 | {'loss_reg': '0.0461', 'loss': '0.0461'}
Train | Epoch: 1 | Time: 7.991607666015625 | Step: 100 / 285 | {'loss_reg': '0.0423', 'loss': '0.0423'}
Train | Epoch: 1 | Time: 8.176960468292236 | Step: 110 / 285 | {'loss_reg': '0.0402', 'loss': '0.0402'}
Train | Epoch: 1 | Time: 7.973222255706787 | Step: 120 / 285 | {'loss_reg': '0.0379', 'loss': '0.0379'}
Train | Epoch: 1 | Time: 8.027836799621582 | Step: 130 / 285 | {'loss_reg': '0.0371', 'loss': '0.0371'}
Train | Epoch: 1 | Time: 7.963454484939575 | Step: 140 / 285 | {'loss_reg': '0.0356', 'loss': '0.0356'}
Train | Epoch: 1 | Time: 8.157618284225464 | Step: 150 / 285 | {'loss_reg': '0.0349', 'loss': '0.0349'}
Train | Epoch: 1 | Time: 8.45625114440918 | Step: 160 / 285 | {'loss_reg': '0.0345', 'loss': '0.0345'}
Train | Epoch: 1 | Time: 8.971932649612427 | Step: 170 / 285 | {'loss_reg': '0.0334', 'loss': '0.0334'}
Train | Epoch: 1 | Time: 8.418272256851196 | Step: 180 / 285 | {'loss_reg': '0.0315', 'loss': '0.0315'}
Train | Epoch: 1 | Time: 8.947356224060059 | Step: 190 / 285 | {'loss_reg': '0.0327', 'loss': '0.0327'}
Train | Epoch: 1 | Time: 8.51515507698059 | Step: 200 / 285 | {'loss_reg': '0.0314', 'loss': '0.0314'}
Train | Epoch: 1 | Time: 8.686556100845337 | Step: 210 / 285 | {'loss_reg': '0.0311', 'loss': '0.0311'}
Train | Epoch: 1 | Time: 8.342342376708984 | Step: 220 / 285 | {'loss_reg': '0.0333', 'loss': '0.0333'}
Train | Epoch: 1 | Time: 8.97696328163147 | Step: 230 / 285 | {'loss_reg': '0.0308', 'loss': '0.0308'}
Train | Epoch: 1 | Time: 8.734549283981323 | Step: 240 / 285 | {'loss_reg': '0.0303', 'loss': '0.0303'}
Train | Epoch: 1 | Time: 8.838916778564453 | Step: 250 / 285 | {'loss_reg': '0.0297', 'loss': '0.0297'}
Train | Epoch: 1 | Time: 8.255993604660034 | Step: 260 / 285 | {'loss_reg': '0.0302', 'loss': '0.0302'}
Train | Epoch: 1 | Time: 8.471409797668457 | Step: 270 / 285 | {'loss_reg': '0.0310', 'loss': '0.0310'}
Train | Epoch: 1 | Time: 8.356099367141724 | Step: 280 / 285 | {'loss_reg': '0.0312', 'loss': '0.0312'}
Val | Epoch: 1 | {'rmse': '15.343', 'pearson': '0.801', 'r2': '0.630', 'spearmanr': '0.807'}
