SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 234 | {'loss_reg': '11.2271', 'loss': '11.2271'}
Train | Epoch: 1 | Step: 10 / 234 | {'loss_reg': '9.7419', 'loss': '9.7419'}
Train | Epoch: 1 | Step: 20 / 234 | {'loss_reg': '7.4487', 'loss': '7.4487'}
Train | Epoch: 1 | Step: 30 / 234 | {'loss_reg': '3.8602', 'loss': '3.8602'}
Train | Epoch: 1 | Step: 40 / 234 | {'loss_reg': '6.3571', 'loss': '6.3571'}
Train | Epoch: 1 | Step: 50 / 234 | {'loss_reg': '7.1944', 'loss': '7.1944'}
Train | Epoch: 1 | Step: 60 / 234 | {'loss_reg': '6.3600', 'loss': '6.3600'}
Train | Epoch: 1 | Step: 70 / 234 | {'loss_reg': '10.0699', 'loss': '10.0699'}
Train | Epoch: 1 | Step: 80 / 234 | {'loss_reg': '3.6131', 'loss': '3.6131'}
Train | Epoch: 1 | Step: 90 / 234 | {'loss_reg': '6.0902', 'loss': '6.0902'}
Train | Epoch: 1 | Step: 100 / 234 | {'loss_reg': '6.1216', 'loss': '6.1216'}
Train | Epoch: 1 | Step: 110 / 234 | {'loss_reg': '6.5726', 'loss': '6.5726'}
Train | Epoch: 1 | Step: 120 / 234 | {'loss_reg': '5.6389', 'loss': '5.6389'}
Train | Epoch: 1 | Step: 130 / 234 | {'loss_reg': '5.1974', 'loss': '5.1974'}
Train | Epoch: 1 | Step: 140 / 234 | {'loss_reg': '7.1052', 'loss': '7.1052'}
Train | Epoch: 1 | Step: 150 / 234 | {'loss_reg': '2.3563', 'loss': '2.3563'}
Train | Epoch: 1 | Step: 160 / 234 | {'loss_reg': '2.4887', 'loss': '2.4887'}
Train | Epoch: 1 | Step: 170 / 234 | {'loss_reg': '4.7973', 'loss': '4.7973'}
Train | Epoch: 1 | Step: 180 / 234 | {'loss_reg': '5.6762', 'loss': '5.6762'}
Train | Epoch: 1 | Step: 190 / 234 | {'loss_reg': '8.9809', 'loss': '8.9809'}
Train | Epoch: 1 | Step: 200 / 234 | {'loss_reg': '4.7104', 'loss': '4.7104'}
Train | Epoch: 1 | Step: 210 / 234 | {'loss_reg': '1.5359', 'loss': '1.5359'}
Train | Epoch: 1 | Step: 220 / 234 | {'loss_reg': '3.8377', 'loss': '3.8377'}
Train | Epoch: 1 | Step: 230 / 234 | {'loss_reg': '4.6759', 'loss': '4.6759'}
Val | Epoch: 1 | {'rmse': '14.600', 'pearson': '0.863', 'r2': '0.685', 'spearmanr': '0.802'}
Train | Epoch: 2 | Step: 0 / 234 | {'loss_reg': '2.3858', 'loss': '2.3858'}
Train | Epoch: 2 | Step: 10 / 234 | {'loss_reg': '3.1263', 'loss': '3.1263'}
Train | Epoch: 2 | Step: 20 / 234 | {'loss_reg': '3.4928', 'loss': '3.4928'}
Train | Epoch: 2 | Step: 30 / 234 | {'loss_reg': '2.0623', 'loss': '2.0623'}
Train | Epoch: 2 | Step: 40 / 234 | {'loss_reg': '3.5271', 'loss': '3.5271'}
Train | Epoch: 2 | Step: 50 / 234 | {'loss_reg': '2.3265', 'loss': '2.3265'}
Train | Epoch: 2 | Step: 60 / 234 | {'loss_reg': '6.7663', 'loss': '6.7663'}
Train | Epoch: 2 | Step: 70 / 234 | {'loss_reg': '1.8833', 'loss': '1.8833'}
Train | Epoch: 2 | Step: 80 / 234 | {'loss_reg': '2.5292', 'loss': '2.5292'}
Train | Epoch: 2 | Step: 90 / 234 | {'loss_reg': '0.8592', 'loss': '0.8592'}
Train | Epoch: 2 | Step: 100 / 234 | {'loss_reg': '0.6311', 'loss': '0.6311'}
Train | Epoch: 2 | Step: 110 / 234 | {'loss_reg': '2.9899', 'loss': '2.9899'}
Train | Epoch: 2 | Step: 120 / 234 | {'loss_reg': '0.7203', 'loss': '0.7203'}
Train | Epoch: 2 | Step: 130 / 234 | {'loss_reg': '1.0894', 'loss': '1.0894'}
Train | Epoch: 2 | Step: 140 / 234 | {'loss_reg': '4.9669', 'loss': '4.9669'}
Train | Epoch: 2 | Step: 150 / 234 | {'loss_reg': '1.0398', 'loss': '1.0398'}
Train | Epoch: 2 | Step: 160 / 234 | {'loss_reg': '4.2626', 'loss': '4.2626'}
Train | Epoch: 2 | Step: 170 / 234 | {'loss_reg': '2.9537', 'loss': '2.9537'}
Train | Epoch: 2 | Step: 180 / 234 | {'loss_reg': '8.3782', 'loss': '8.3782'}
Train | Epoch: 2 | Step: 190 / 234 | {'loss_reg': '1.6452', 'loss': '1.6452'}
Train | Epoch: 2 | Step: 200 / 234 | {'loss_reg': '1.3697', 'loss': '1.3697'}
Train | Epoch: 2 | Step: 210 / 234 | {'loss_reg': '1.9911', 'loss': '1.9911'}
Train | Epoch: 2 | Step: 220 / 234 | {'loss_reg': '1.8045', 'loss': '1.8045'}
Train | Epoch: 2 | Step: 230 / 234 | {'loss_reg': '2.0451', 'loss': '2.0451'}
Val | Epoch: 2 | {'rmse': '13.067', 'pearson': '0.884', 'r2': '0.748', 'spearmanr': '0.832'}
Train | Epoch: 3 | Step: 0 / 234 | {'loss_reg': '0.9193', 'loss': '0.9193'}
Train | Epoch: 3 | Step: 10 / 234 | {'loss_reg': '4.0724', 'loss': '4.0724'}
Train | Epoch: 3 | Step: 20 / 234 | {'loss_reg': '0.8949', 'loss': '0.8949'}
Train | Epoch: 3 | Step: 30 / 234 | {'loss_reg': '0.2563', 'loss': '0.2563'}
Train | Epoch: 3 | Step: 40 / 234 | {'loss_reg': '2.1573', 'loss': '2.1573'}
Train | Epoch: 3 | Step: 50 / 234 | {'loss_reg': '0.4338', 'loss': '0.4338'}
Train | Epoch: 3 | Step: 60 / 234 | {'loss_reg': '8.6761', 'loss': '8.6761'}
Train | Epoch: 3 | Step: 70 / 234 | {'loss_reg': '0.7271', 'loss': '0.7271'}
Train | Epoch: 3 | Step: 80 / 234 | {'loss_reg': '1.1520', 'loss': '1.1520'}
Train | Epoch: 3 | Step: 90 / 234 | {'loss_reg': '0.1211', 'loss': '0.1211'}
Train | Epoch: 3 | Step: 100 / 234 | {'loss_reg': '1.9156', 'loss': '1.9156'}
Train | Epoch: 3 | Step: 110 / 234 | {'loss_reg': '0.5020', 'loss': '0.5020'}
Train | Epoch: 3 | Step: 120 / 234 | {'loss_reg': '3.9820', 'loss': '3.9820'}
Train | Epoch: 3 | Step: 130 / 234 | {'loss_reg': '2.4528', 'loss': '2.4528'}
Train | Epoch: 3 | Step: 140 / 234 | {'loss_reg': '1.2602', 'loss': '1.2602'}
Train | Epoch: 3 | Step: 150 / 234 | {'loss_reg': '2.1968', 'loss': '2.1968'}
Train | Epoch: 3 | Step: 160 / 234 | {'loss_reg': '0.5854', 'loss': '0.5854'}
Train | Epoch: 3 | Step: 170 / 234 | {'loss_reg': '2.1597', 'loss': '2.1597'}
Train | Epoch: 3 | Step: 180 / 234 | {'loss_reg': '1.3537', 'loss': '1.3537'}
Train | Epoch: 3 | Step: 190 / 234 | {'loss_reg': '2.5306', 'loss': '2.5306'}
Train | Epoch: 3 | Step: 200 / 234 | {'loss_reg': '2.1491', 'loss': '2.1491'}
Train | Epoch: 3 | Step: 210 / 234 | {'loss_reg': '2.1558', 'loss': '2.1558'}
Train | Epoch: 3 | Step: 220 / 234 | {'loss_reg': '1.9480', 'loss': '1.9480'}
Train | Epoch: 3 | Step: 230 / 234 | {'loss_reg': '1.7473', 'loss': '1.7473'}
Val | Epoch: 3 | {'rmse': '10.930', 'pearson': '0.917', 'r2': '0.824', 'spearmanr': '0.884'}
Train | Epoch: 4 | Step: 0 / 234 | {'loss_reg': '1.0400', 'loss': '1.0400'}
Train | Epoch: 4 | Step: 10 / 234 | {'loss_reg': '1.9744', 'loss': '1.9744'}
