SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 234 | {'loss_reg': '12.6863', 'loss_triplet': '1.0427', 'loss': '13.7289'}
Train | Epoch: 1 | Step: 10 / 234 | {'loss_reg': '6.0074', 'loss_triplet': '0.2266', 'loss': '6.2340'}
Train | Epoch: 1 | Step: 20 / 234 | {'loss_reg': '6.2533', 'loss_triplet': '0.2020', 'loss': '6.4552'}
Train | Epoch: 1 | Step: 30 / 234 | {'loss_reg': '7.7651', 'loss_triplet': '0.1702', 'loss': '7.9353'}
Train | Epoch: 1 | Step: 40 / 234 | {'loss_reg': '0.5743', 'loss_triplet': '0.1671', 'loss': '0.7414'}
Train | Epoch: 1 | Step: 50 / 234 | {'loss_reg': '4.4610', 'loss_triplet': '0.3713', 'loss': '4.8324'}
Train | Epoch: 1 | Step: 60 / 234 | {'loss_reg': '5.8462', 'loss_triplet': '0.1737', 'loss': '6.0199'}
Train | Epoch: 1 | Step: 70 / 234 | {'loss_reg': '8.5707', 'loss_triplet': '0.3082', 'loss': '8.8789'}
Train | Epoch: 1 | Step: 80 / 234 | {'loss_reg': '3.4394', 'loss_triplet': '0.1425', 'loss': '3.5819'}
Train | Epoch: 1 | Step: 90 / 234 | {'loss_reg': '7.7645', 'loss_triplet': '0.6781', 'loss': '8.4426'}
Train | Epoch: 1 | Step: 100 / 234 | {'loss_reg': '4.7236', 'loss_triplet': '0.1415', 'loss': '4.8651'}
Train | Epoch: 1 | Step: 110 / 234 | {'loss_reg': '2.6382', 'loss_triplet': '0.1893', 'loss': '2.8274'}
Train | Epoch: 1 | Step: 120 / 234 | {'loss_reg': '2.6641', 'loss_triplet': '0.2754', 'loss': '2.9395'}
Train | Epoch: 1 | Step: 130 / 234 | {'loss_reg': '2.8450', 'loss_triplet': '0.1492', 'loss': '2.9942'}
Train | Epoch: 1 | Step: 140 / 234 | {'loss_reg': '2.9532', 'loss_triplet': '0.1477', 'loss': '3.1009'}
Train | Epoch: 1 | Step: 150 / 234 | {'loss_reg': '8.5054', 'loss_triplet': '0.2945', 'loss': '8.8000'}
Train | Epoch: 1 | Step: 160 / 234 | {'loss_reg': '1.5099', 'loss_triplet': '0.3696', 'loss': '1.8796'}
Train | Epoch: 1 | Step: 170 / 234 | {'loss_reg': '2.1831', 'loss_triplet': '0.3837', 'loss': '2.5668'}
Train | Epoch: 1 | Step: 180 / 234 | {'loss_reg': '1.8218', 'loss_triplet': '0.2856', 'loss': '2.1074'}
Train | Epoch: 1 | Step: 190 / 234 | {'loss_reg': '4.5252', 'loss_triplet': '0.4574', 'loss': '4.9826'}
Train | Epoch: 1 | Step: 200 / 234 | {'loss_reg': '2.0475', 'loss_triplet': '0.2750', 'loss': '2.3224'}
Train | Epoch: 1 | Step: 210 / 234 | {'loss_reg': '2.3012', 'loss_triplet': '0.3773', 'loss': '2.6785'}
Train | Epoch: 1 | Step: 220 / 234 | {'loss_reg': '2.1562', 'loss_triplet': '0.1427', 'loss': '2.2989'}
Train | Epoch: 1 | Step: 230 / 234 | {'loss_reg': '1.5045', 'loss_triplet': '0.3289', 'loss': '1.8334'}
Val | Epoch: 1 | {'rmse': '24.078', 'pearson': '0.695', 'r2': '0.086', 'spearmanr': '0.650'}
Train | Epoch: 2 | Step: 0 / 234 | {'loss_reg': '1.9804', 'loss_triplet': '0.2295', 'loss': '2.2099'}
Train | Epoch: 2 | Step: 10 / 234 | {'loss_reg': '3.6367', 'loss_triplet': '0.7662', 'loss': '4.4030'}
Train | Epoch: 2 | Step: 20 / 234 | {'loss_reg': '3.1090', 'loss_triplet': '0.4332', 'loss': '3.5422'}
Train | Epoch: 2 | Step: 30 / 234 | {'loss_reg': '2.3308', 'loss_triplet': '1.0257', 'loss': '3.3566'}
Train | Epoch: 2 | Step: 40 / 234 | {'loss_reg': '1.8092', 'loss_triplet': '0.1978', 'loss': '2.0070'}
Train | Epoch: 2 | Step: 50 / 234 | {'loss_reg': '1.4826', 'loss_triplet': '0.5921', 'loss': '2.0747'}
Train | Epoch: 2 | Step: 60 / 234 | {'loss_reg': '0.7733', 'loss_triplet': '0.7833', 'loss': '1.5566'}
Train | Epoch: 2 | Step: 70 / 234 | {'loss_reg': '0.7933', 'loss_triplet': '0.1409', 'loss': '0.9342'}
Train | Epoch: 2 | Step: 80 / 234 | {'loss_reg': '2.8332', 'loss_triplet': '0.1453', 'loss': '2.9785'}
Train | Epoch: 2 | Step: 90 / 234 | {'loss_reg': '1.1242', 'loss_triplet': '0.2141', 'loss': '1.3382'}
Train | Epoch: 2 | Step: 100 / 234 | {'loss_reg': '1.7415', 'loss_triplet': '0.7865', 'loss': '2.5279'}
Train | Epoch: 2 | Step: 110 / 234 | {'loss_reg': '2.6052', 'loss_triplet': '0.3640', 'loss': '2.9692'}
Train | Epoch: 2 | Step: 120 / 234 | {'loss_reg': '2.3189', 'loss_triplet': '0.2430', 'loss': '2.5619'}
Train | Epoch: 2 | Step: 130 / 234 | {'loss_reg': '3.5479', 'loss_triplet': '0.3603', 'loss': '3.9081'}
Train | Epoch: 2 | Step: 140 / 234 | {'loss_reg': '1.3298', 'loss_triplet': '0.2796', 'loss': '1.6094'}
Train | Epoch: 2 | Step: 150 / 234 | {'loss_reg': '1.4088', 'loss_triplet': '0.4239', 'loss': '1.8327'}
Train | Epoch: 2 | Step: 160 / 234 | {'loss_reg': '0.6931', 'loss_triplet': '0.6215', 'loss': '1.3146'}
Train | Epoch: 2 | Step: 170 / 234 | {'loss_reg': '1.2221', 'loss_triplet': '0.2354', 'loss': '1.4575'}
Train | Epoch: 2 | Step: 180 / 234 | {'loss_reg': '1.0596', 'loss_triplet': '0.4455', 'loss': '1.5051'}
Train | Epoch: 2 | Step: 190 / 234 | {'loss_reg': '1.6935', 'loss_triplet': '0.1847', 'loss': '1.8782'}
Train | Epoch: 2 | Step: 200 / 234 | {'loss_reg': '1.8800', 'loss_triplet': '0.3611', 'loss': '2.2411'}
Train | Epoch: 2 | Step: 210 / 234 | {'loss_reg': '0.6341', 'loss_triplet': '1.0791', 'loss': '1.7132'}
Train | Epoch: 2 | Step: 220 / 234 | {'loss_reg': '1.5666', 'loss_triplet': '0.9187', 'loss': '2.4854'}
Train | Epoch: 2 | Step: 230 / 234 | {'loss_reg': '0.9173', 'loss_triplet': '0.3160', 'loss': '1.2333'}
Val | Epoch: 2 | {'rmse': '12.991', 'pearson': '0.876', 'r2': '0.734', 'spearmanr': '0.787'}
Train | Epoch: 3 | Step: 0 / 234 | {'loss_reg': '0.7367', 'loss_triplet': '0.5657', 'loss': '1.3023'}
Train | Epoch: 3 | Step: 10 / 234 | {'loss_reg': '1.0181', 'loss_triplet': '0.2022', 'loss': '1.2203'}
Train | Epoch: 3 | Step: 20 / 234 | {'loss_reg': '1.3804', 'loss_triplet': '0.2693', 'loss': '1.6497'}
Train | Epoch: 3 | Step: 30 / 234 | {'loss_reg': '1.6287', 'loss_triplet': '0.4148', 'loss': '2.0436'}
Train | Epoch: 3 | Step: 40 / 234 | {'loss_reg': '1.3137', 'loss_triplet': '0.5922', 'loss': '1.9059'}
Train | Epoch: 3 | Step: 50 / 234 | {'loss_reg': '1.4972', 'loss_triplet': '0.4015', 'loss': '1.8986'}
Train | Epoch: 3 | Step: 60 / 234 | {'loss_reg': '1.0699', 'loss_triplet': '0.4804', 'loss': '1.5503'}
Train | Epoch: 3 | Step: 70 / 234 | {'loss_reg': '5.3723', 'loss_triplet': '0.1138', 'loss': '5.4861'}
Train | Epoch: 3 | Step: 80 / 234 | {'loss_reg': '2.5958', 'loss_triplet': '0.5186', 'loss': '3.1143'}
Train | Epoch: 3 | Step: 90 / 234 | {'loss_reg': '2.2748', 'loss_triplet': '0.3106', 'loss': '2.5853'}
Train | Epoch: 3 | Step: 100 / 234 | {'loss_reg': '1.6048', 'loss_triplet': '0.6496', 'loss': '2.2544'}
Train | Epoch: 3 | Step: 110 / 234 | {'loss_reg': '1.3845', 'loss_triplet': '0.3990', 'loss': '1.7834'}
Train | Epoch: 3 | Step: 120 / 234 | {'loss_reg': '0.9901', 'loss_triplet': '0.2219', 'loss': '1.2120'}
Train | Epoch: 3 | Step: 130 / 234 | {'loss_reg': '6.0661', 'loss_triplet': '0.2109', 'loss': '6.2770'}
Train | Epoch: 3 | Step: 140 / 234 | {'loss_reg': '0.5934', 'loss_triplet': '0.9998', 'loss': '1.5932'}
Train | Epoch: 3 | Step: 150 / 234 | {'loss_reg': '3.4679', 'loss_triplet': '0.3987', 'loss': '3.8667'}
Train | Epoch: 3 | Step: 160 / 234 | {'loss_reg': '1.6240', 'loss_triplet': '0.6021', 'loss': '2.2261'}
Train | Epoch: 3 | Step: 170 / 234 | {'loss_reg': '0.9974', 'loss_triplet': '0.4851', 'loss': '1.4825'}
Train | Epoch: 3 | Step: 180 / 234 | {'loss_reg': '0.9647', 'loss_triplet': '1.0304', 'loss': '1.9951'}
Train | Epoch: 3 | Step: 190 / 234 | {'loss_reg': '7.5121', 'loss_triplet': '0.3145', 'loss': '7.8266'}
Train | Epoch: 3 | Step: 200 / 234 | {'loss_reg': '1.4574', 'loss_triplet': '0.3594', 'loss': '1.8169'}
Train | Epoch: 3 | Step: 210 / 234 | {'loss_reg': '1.2946', 'loss_triplet': '0.3539', 'loss': '1.6484'}
Train | Epoch: 3 | Step: 220 / 234 | {'loss_reg': '1.2084', 'loss_triplet': '0.2650', 'loss': '1.4734'}
Train | Epoch: 3 | Step: 230 / 234 | {'loss_reg': '2.1721', 'loss_triplet': '0.7412', 'loss': '2.9133'}
Val | Epoch: 3 | {'rmse': '14.764', 'pearson': '0.839', 'r2': '0.656', 'spearmanr': '0.735'}
Train | Epoch: 4 | Step: 0 / 234 | {'loss_reg': '1.9603', 'loss_triplet': '0.5927', 'loss': '2.5530'}
Train | Epoch: 4 | Step: 10 / 234 | {'loss_reg': '0.4444', 'loss_triplet': '0.4378', 'loss': '0.8822'}
Train | Epoch: 4 | Step: 20 / 234 | {'loss_reg': '1.3233', 'loss_triplet': '0.2290', 'loss': '1.5523'}
Train | Epoch: 4 | Step: 30 / 234 | {'loss_reg': '1.3029', 'loss_triplet': '0.4416', 'loss': '1.7445'}
Train | Epoch: 4 | Step: 40 / 234 | {'loss_reg': '1.7757', 'loss_triplet': '0.2686', 'loss': '2.0443'}
Train | Epoch: 4 | Step: 50 / 234 | {'loss_reg': '1.7410', 'loss_triplet': '0.3755', 'loss': '2.1164'}
Train | Epoch: 4 | Step: 60 / 234 | {'loss_reg': '7.3656', 'loss_triplet': '0.2145', 'loss': '7.5801'}
Train | Epoch: 4 | Step: 70 / 234 | {'loss_reg': '1.6082', 'loss_triplet': '0.1883', 'loss': '1.7964'}
Train | Epoch: 4 | Step: 80 / 234 | {'loss_reg': '0.7827', 'loss_triplet': '0.2812', 'loss': '1.0639'}
Train | Epoch: 4 | Step: 90 / 234 | {'loss_reg': '0.7622', 'loss_triplet': '0.7100', 'loss': '1.4722'}
Train | Epoch: 4 | Step: 100 / 234 | {'loss_reg': '0.7220', 'loss_triplet': '0.2851', 'loss': '1.0071'}
Train | Epoch: 4 | Step: 110 / 234 | {'loss_reg': '1.6172', 'loss_triplet': '0.3814', 'loss': '1.9986'}
